Your Input	Gene	Public Name	Status	Sequence Name	Other Name	Transcript	WormPep	Uniprot	TreeFam	RefSeq_mRNA	RefSeq_protein	RNAi Phenotype Observed	RNAi Phenotype Not Observed	Allele Phenotype Observed	Allele Phenotype Not Observed	Expr_pattern Tissue	Genomic Study Tissue	Expr_pattern LifeStage	Genomic Study LifeStage	Public Name	Disease Info	Human Ortholog	Description Type	Description Text
C11H1.5	WBGene00007530	C11H1.5	Live	C11H1.5	CELE_C11H1.5	C11H1.5,C11H1.5:wp131,C11H1.5	CE37315	Q17910	N.A.	NM_077986.3	NP_510387.2	N.A.	embryonic lethal,larval arrest,larval lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	N.A.	N.A.	N.A.	C11H1.5	N.A.	N.A.	Automated_description	Microarray, tiling array, and RNA sequencing studies indicate that C11H1.5 is regulated by clk-1, cyc-1, hpl-2, nhr-114, bar-1, ubc-9, wrn-1, tdp-1, npr-1, rbr-2, sir-2.1, ahr-1, and mir-243; RNA sequencing and microarray studies indicate that C11H1.5 is regulated by Methylmercury hydroxide, 1-methylnicotinamide, Nicotinic acid, Rotenone, Manganese chloride, D-glucose, and Resveratrol.
fpn-1.1	WBGene00021354	fpn-1.1	Live	Y37E3.16	CELE_Y37E3.16	Y37E3.16,Y37E3.16a:wp145,Y37E3.16b:wp124,Y37E3.16b:wp145,Y37E3.16.1,Y37E3.16.2	CE36732	Q8IA95	TF313463	NM_001037896.2	NP_001032985.1	N.A.	embryonic lethal,maternal sterile,organism morphology variant,Variant	N.A.	lethal	N.A.	germ line	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,4-cell embryo Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	fpn-1.1	hemochromatosis|Based on Sequence|DOID:2352|ENSEMBL:ENSG00000138449|OMIM:606069,Parkinson's disease|Based on Experiment|DOID:14330|D	ENSG00000138449|ParaSite-Compara;Inparanoid_8;Panther	Automated_description	fpn-1.1 is an ortholog of human SLC40A1 (solute carrier family 40 member 1); fpn-1.1 is predicted to have iron ion transmembrane transporter activity, based on protein domain information.
C46G7.2	WBGene00016722	C46G7.2	Live	C46G7.2	CELE_C46G7.2	C46G7.2,C46G7.2	CE08778	O02141	TF319712	NM_068503.4	NP_500904.1	extended life span	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	lethal	N.A.	body wall muscle cell,body wall musculature,muscle cell	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	C46G7.2	N.A.	N.A.	Automated_description	C46G7.2 is involved in determination of adult lifespan, locomotion, nematode larval development and reproduction; C46G7.2 is localized to the A band and the striated muscle dense body.
ent-4	WBGene00008123	ent-4	Live	C47A4.2	ent-6,CELE_C47A4.2	C47A4.2a,C47A4.2b,C47A4.2c,C47A4.2:wp109,C47A4.2a,C47A4.2b,C47A4.2c	CE35435,CE35436,CE39699	Q7JKL2,Q2EEN3,Q9U3L8	TF313950	NM_001027897.3,NM_001047462.2,NM_001027898.2	NP_001040927.1,NP_001023069.1,NP_001023068.1	N.A.	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	germ line,intestine,OLL,PVD,Z4.aapppap (5L) nucleus	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,dauer larva Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	ent-4	N.A.	ENSG00000112759|ParaSite-Compara;Inparanoid_8,ENSG00000174669|ParaSite-Compara;Inparanoid_8,ENSG00000198246|ParaSite-Compara;Inparanoid_8	Automated_description	ent-4 is an ortholog of human SLC29A1 (solute carrier family 29 member 1 (Augustine blood group)), SLC29A2 (solute carrier family 29 member 2) and SLC29A3 (solute carrier family 29 member 3); ent-4 is predicted to have nucleoside transmembrane transporter activity, based on protein domain information.
ent-4	WBGene00009686	ent-7	Live	F44D12.9	ent-4,CELE_F44D12.9	F44D12.9a,F44D12.9b,F44D12.9c,F44D12.9:wp88,F44D12.9:wp150,F44D12.9d,F44D12.9c,F44D12.9a.1,F44D12.9a.2,F44D12.9a.3,F44D12.9b	CE39252,CE45325,CE45345	E1B6S0,Q20396,E1B6S1	TF313950	NM_001268523.1,NM_001268522.1,NM_001268521.1,NR_131591.1	NP_001255452.1,NP_001255450.1,NP_001255451.1	N.A.	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	N.A.	N.A.	N.A.	ent-7	N.A.	ENSG00000174669|ParaSite-Compara,ENSG00000112759|ParaSite-Compara,ENSG00000198246|ParaSite-Compara	Automated_description	ent-7 is an ortholog of human SLC29A2 (solute carrier family 29 member 2), SLC29A1 (solute carrier family 29 member 1 (Augustine blood group)) and SLC29A3 (solute carrier family 29 member 3); ent-7 is predicted to have nucleoside transmembrane transporter activity, based on protein domain information.
let-268	WBGene00002497	let-268	Live	F52H3.1	CELE_F52H3.1	F52H3.1,F52H3.1.1,F52H3.1.2,F52H3.1.3,F52H3.1.4	CE03397	Q20679	TF313826	NM_063769.3	NP_496170.1	cell secretion variant,embryonic lethal,exploded through vulva,larval lethal,organism morphology variant,pattern of transgene expression variant,receptor mediated endocytosis defective	maternal sterile,organism morphology variant,Variant	larval lethal	N.A.	body wall musculature,GLR	body wall muscle cell,germ line,hermaphrodite-specific,muscle cell	1.5-fold embryo Ce,2-fold embryo Ce,3-fold embryo Ce,fully-elongated embryo Ce,postembryonic Ce	1-cell embryo Ce,1-day post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,3-fold embryo Ce,10-days post-L4 adult hermaphrodite Ce,20-days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,L4 larva male Ce,larva Ce	let-268	Bruck syndrome|Based on Sequence|DOID:0060231|ENSEMBL:ENSG00000152952|OMIM:609220,Ehlers-Danlos syndrome|Based on Sequence|DOID:13359|ENSEMBL:ENSG00000083444|OMIM:225400,brittle cornea syndrome|Based on Sequence|DOID:14775|ENSEMBL:ENSG00000083444|OMIM:225400	ENSG00000083444|ParaSite-Compara;Inparanoid_8;Panther,ENSG00000106397|ParaSite-Compara;Inparanoid_8;Panther,ENSG00000152952|ParaSite-Compara;Inparanoid_8;Panther	Concise_description	let-268 encodes a procollagen lysyl hydroxylase that processes type IV collagen, a collagen secreted and incorporated into the basement membrane during embryogenesis (and encoded partly by emb-9); LET-268 activity is essential for type IV collagen processing and secretion and for the stability, but not the formation of, the basement membrane that provides mechanical support to body wall muscle once contraction begins; LET-268 also appears to be required for pharyngeal muscle contraction.
mam-2	WBGene00008150	mam-2	Live	C47E12.6	CELE_C47E12.6	C47E12.6,C47E12.6:wp87,C47E12.6a:wp191,C47E12.6a:wp201,C47E12.6b:wp191,C47E12.6b:wp243,C47E12.6	CE43648	Q8I4M2	N.A.	NM_069398.5	NP_501799.4	N.A.	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	lethal	N.A.	germ line,germline precursor cell,gon_male_dtc anterior,gon_male_dtc posterior,hypodermis,Z1,Z1.p,Z4,Z4.a	N.A.	1-cell embryo Ce,1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,3-fold embryo Ce,adult Ce,adult hermaphrodite Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	mam-2	N.A.	N.A.	Automated_description	RNA sequencing and microarray studies indicate that mam-2 is regulated by Ethanol, Methylmercury hydroxide, 1-methylnicotinamide, Nicotinic acid, Sodium arsenite, D-glucose, Chlorpyrifos, Diazinon, Selenium, Colistin, and Sirolimus; tiling array and RNA sequencing studies indicate that mam-2 is enriched in the germline precursor cell, hypodermis, germ line, gon_male_dtc posterior, gon_male_dtc anterior, Z1.p, Z4.a, Z4, and Z1.
dhp-2	WBGene00000964	dhp-2	Live	C47E12.8	CeCRMP\/DHP-2,CELE_C47E12.8	C47E12.8,C47E12.8	CE05452	Q18677	N.A.	NM_069396.6	NP_501797.1	N.A.	basement membrane gap expansion variant,embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	body wall musculature	body wall muscle cell,germ line,intestine,muscle cell	2-fold embryo Ce,adult Ce,elongating embryo Ce,enclosing embryo Ce,fully-elongated embryo Ce,gastrulating embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,4-cell embryo Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	dhp-2	N.A.	ENSG00000147647|Inparanoid_8;Panther,ENSG00000092964|Inparanoid_8;Panther,ENSG00000113657|Inparanoid_8;Panther,ENSG00000072832|Inparanoid_8;Panther,ENSG00000151640|Panther,ENSG00000157851|Panther	Concise_description	The dhp-2 gene encodes an ortholog of the human gene DIHYDROPYRIMIDINASE (DPYS), which when mutated leads to dihydropyrimidinuria (OMIM:222748).
cpg-9	WBGene00022072	cpg-9	Live	Y67D8C.8	CELE_Y67D8C.8	Y67D8C.8,Y67D8C.8	CE27506	Q95XP7	TF342932	NM_067888.6	NP_500289.1	N.A.	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	body wall muscle cell,germ line,hermaphrodite-specific,muscle cell	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,4-cell embryo Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,blastula embryo Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	cpg-9	N.A.	N.A.	Concise_description	cpg-9 encodes a small (69-residue), putatively secreted protein with 4 potential chondroitin attachment sites, 2 of them verified by mass spectrometry; CPG-9 has no obvious function in mass RNAi assays.
C50E3.6	WBGene00016817	C50E3.6	Live	C50E3.6	CELE_C50E3.6	C50E3.6,C50E3.6:wp132,C50E3.6	CE37620	Q22925	N.A.	NM_072557.4	NP_504958.3	N.A.	embryonic lethal,larval arrest,larval lethal,maternal sterile,organism morphology variant,organism oxidative stress response variant,paraquat response variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	GABAergic neuron,neuron	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	C50E3.6	N.A.	N.A.	Automated_description	Tiling array, RNA sequencing, and microarray studies indicate that C50E3.6 is regulated by daf-16, tatn-1, bar-1, wdr-5.1, daf-2, octr-1, and isp-1; microarray studies indicate that C50E3.6 is regulated by Dafa#1 and Sirolimus; microarray and RNA sequencing studies indicate that C50E3.6 is enriched in neurons including the GABAergic neurons.
C14F11.6	WBGene00015781	C14F11.6	Live	C14F11.6	CELE_C14F11.6	C14F11.6,C14F11.6.1,C14F11.6.2	CE02482	Q17993	N.A.	NM_076645.3	NP_509046.1	N.A.	embryonic lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,Variant	N.A.	N.A.	N.A.	hypodermis,male-specific	N.A.	1-cell embryo Ce,1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,5-days post-L4 adult hermaphrodite Ce,6-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,blastula embryo Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	C14F11.6	N.A.	N.A.	Automated_description	C14F11.6 is predicted to have dTDP-4-dehydrorhamnose 3,5-epimerase activity, based on protein domain information.
dpy-8	WBGene00001070	dpy-8	Live	C31H2.2	CELE_C31H2.2	C31H2.2,C31H2.2	CE04130	Q18345	N.A.	NM_076472.3	NP_508873.1	dumpy,egg laying variant,locomotion variant,organism development variant,roller,small,transgene expression increased	embryonic lethal,maternal sterile,organism morphology variant,Variant	alae morphology variant,annulae morphology variant,dumpy,helical cuticle,left handed roller,struts variant	helical cuticle,male ray morphology variant,roller,surface antigenicity variant	N.A.	germ line,male-specific,OLL,PVD,Z4.aapppap (5L) nucleus	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,4-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,10-days post-L4 adult hermaphrodite Ce,20-days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,adult male Ce,all stages Ce,blastula embryo Ce,dauer larva Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	dpy-8	N.A.	ENSG00000159189|Panther,ENSG00000188153|Panther	Concise_description	dpy-8 encodes a collagen with a nematode-specific N-terminal domain that is required for normal body morphology and (perhaps) for a normal embryonic cell division rate; dpy-8 interacts genetically with emb-5 and glp-1.
ddo-3	WBGene00017648	ddo-3	Live	F20H11.5	CELE_F20H11.5	F20H11.5,F20H11.5	CE09514	O01739	TF313887	NM_066052.4	NP_498453.1	N.A.	embryonic development variant,embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	delayed hatching,extended life span,hatching variant,reduced brood size,slow growth	body length variant,lethal	gonadal sheath cell,head,hmc,hypodermis,reproductive system,seminal vesicle,tail,vulva,vulval muscle	germ line,hypodermis,intestine,NSM	adult Ce,L3 larva Ce,L4 larva Ce,larva Ce	1-cell embryo Ce,1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,4-cell embryo Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,blastula embryo Ce,dauer larva Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce,oocyte-laying stage adult hermaphrodite Ce	ddo-3	N.A.	ENSG00000203797|Panther	Concise_description	ddo-3 encodes a putative secreted D-aspartate oxidase (DASPO), paralogous to DDO-1 and DDO-2; recombinant DDO-3 protein is insoluble when expressed in E. coli, and thus has not yet been tested in vitro for activity; ddo-3 is expressed in a head mesodermal cell, hypodermis, other head cells, and vulva.
C49A9.2	WBGene00016756	C49A9.2	Live	C49A9.2	CELE_C49A9.2	C49A9.2,C49A9.2.1,C49A9.2.2	CE16932	O44154	TF318575	NM_068536.3	NP_500937.1	N.A.	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	intestine,Z4.aapppap (5L) nucleus	N.A.	1-cell embryo Ce,1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,5-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,blastula embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	C49A9.2	N.A.	N.A.	Automated_description	Microarray and RNA sequencing studies indicate that C49A9.2 is regulated by cyc-1, sma-2, sma-4, lin-35, emr-1, lem-2, bar-1, swsn-2.2, npr-1, jmjd-1.2, hsf-1, rbr-2, let-418, chd-3, sir-2.1, eri-1, tax-6, daf-2, hcf-1, and isp-1; microarray and RNA sequencing studies indicate that C49A9.2 is regulated by Aldicarb, D-glucose, Fluoranthene, Cry5B, Chlorpyrifos, Humic substances, and Sirolimus; RNA sequencing and microarray studies indicate that C49A9.2 is enriched in the Z4.aapppap (5L) nucleus and intestine.
ZK596.3	WBGene00014008	ZK596.3	Live	ZK596.3	CELE_ZK596.3	ZK596.3,ZK596.3:wp109,ZK596.3	CE35705	Q23547	TF318430	NM_069626.2	NP_502027.2	N.A.	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	N.A.	N.A.	N.A.	ZK596.3	N.A.	N.A.	Automated_description	RNA sequencing and microarray studies indicate that ZK596.3 is regulated by prp-8, rsr-2, emr-1, lem-2, bar-1, tdp-1, daf-2, mdt-15, let-418, chd-3, dpy-10, mir-243, aak-2, tax-6, octr-1, daf-19, and oga-1; RNA sequencing and microarray studies indicate that ZK596.3 is regulated by D-glucopyranose, D-glucose, Paraquat, and Sirolimus.
C39B5.5	WBGene00016523	C39B5.5	Live	C39B5.5	CELE_C39B5.5	C39B5.5,C39B5.5:wp150,C39B5.5:wp202,C39B5.5	CE43731	C2BR91	N.A.	NM_065110.3	NP_497511.3	N.A.	N.A.	N.A.	N.A.	N.A.	germ line	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	C39B5.5	N.A.	ENSG00000077984|Panther,ENSG00000175315|Panther,ENSG00000173335|Panther,ENSG00000125823|Panther,ENSG00000125815|Panther,ENSG00000101435|Panther,ENSG00000125831|Panther,ENSG00000170367|Panther,ENSG00000170373|Panther,ENSG00000101441|Panther,ENSG00000170369|Panther,ENSG00000101439|Panther	Automated_description	C39B5.5 is an ortholog of members of the human Cystatins, type 2 family including CST7; C39B5.5 is predicted to have cysteine-type endopeptidase inhibitor activity, based on protein domain information.
C49A9.5	WBGene00016759	C49A9.5	Live	C49A9.5	CELE_C49A9.5	C49A9.5,C49A9.5	CE16935	O44151	TF318575	NM_068532.4	NP_500933.1	N.A.	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	FLP,intestine	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	C49A9.5	N.A.	N.A.	Automated_description	Microarray and RNA sequencing studies indicate that C49A9.5 is regulated by lin-35, cyc-1, lin-15B, emr-1, lem-2, bar-1, tdp-1, htz-1, daf-2, skn-1, mdt-15, jmjd-1.2, rbr-2, cdk-4, cyd-1, and nuo-6; RNA sequencing and microarray studies indicate that C49A9.5 is regulated by D-glucopyranose, Bisphenol S, Hydrolyzable Tannins, Humic substances, and Colistin; tiling array and microarray studies indicate that C49A9.5 is enriched in the intestine and in the FLP neurons.
C14H10.3	WBGene00007593	C14H10.3	Live	C14H10.3	CELE_C14H10.3	C14H10.3a,C14H10.3b,C14H10.3:wp188,C14H10.3a,C14H10.3b.1,C14H10.3b.2,C14H10.3b.3	CE42309,CE42453	B1Q254,B1Q255	TF313101	NM_001129637.2,NM_001129636.3	NP_001123109.1,NP_001123108.1	N.A.	embryonic lethal,larval arrest,larval lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	CEM,coelomocyte,germ line,HOB,hypodermis,IL2 neuron,ray neuron type B	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,4-cell embryo Ce,7-10 days post-L4 adult hermaphrodite Ce,10-days post-L4 adult hermaphrodite Ce,11-15 days post-L4 adult hermaphrodite Ce,20-days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,blastula embryo Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	C14H10.3	N.A.	ENSG00000179889|ParaSite-Compara;Inparanoid_8;Panther	Automated_description	C14H10.3 is an ortholog of human PDXDC1 (pyridoxal dependent decarboxylase domain containing 1); C14H10.3 is predicted to have catalytic activity, based on protein domain information.
unc-22	WBGene00006759	unc-22	Live	ZK617.1	CELE_ZK617.1	ZK617.1a,ZK617.1b,ZK617.1c,ZK617.1d,ZK617.1e,ZK617.1f,ZK617.1g,ZK617.1h,ZK617.1i,ZK617.1a:wp92,ZK617.1b:wp92,ZK617.1c:wp229,ZK617.1d:wp243,ZK617.1a.1,ZK617.1a.2,ZK617.1a.3,ZK617.1g.1,ZK617.1g.2,ZK617.1g.3,ZK617.1b.1,ZK617.1b.2,ZK617.1b.3,ZK617.1h.1,ZK617.1h.2,ZK617.1h.3,ZK617.1c.1,ZK617.1c.2,ZK617.1c.3,ZK617.1e.1,ZK617.1e.2,ZK617.1e.3,ZK617.1i.1,ZK617.1i.2,ZK617.1i.3,ZK617.1d.1,ZK617.1d.2,ZK617.1d.3,ZK617.1f.1,ZK617.1f.2,ZK617.1f.3	CE33017,CE33018,CE47057,CE49926,CE44668,CE46948,CE46868,CE49973,CE49956	Q23551,H2FLH2,A0A061AE24,A0A061ACT3,H2FLH3	TF316477	NM_001268674.2,NM_069872.5,NM_001307046.1,NM_069873.4,NM_001129363.2,NM_001268672.1,NM_001268675.1,NM_001268673.1,NM_001307045.1	NP_001255604.1,NP_502274.2,NP_001255601.1,NP_001255602.1,NP_502273.2,NP_001293974.1,NP_001122835.2,NP_001293975.1,NP_001255603.2	body wall muscle morphology variant,body wall muscle sarcomere morphology variant,endoderm absent,locomotion variant,long,mitochondria morphology variant,multivulva,paralyzed,protein degradation variant,small,sterile,twitcher	dumpy,egg laying defective,embryonic lethal,endoderm absent,exploded through vulva,growth rate variant,locomotion variant,maternal sterile,organism morphology variant,pathogen induced death increased,programmed cell death variant,protruding vulva,roller,shortened life span,sterile,transgene expression variant,Variant	antihelmintic response variant,body posture variant,cholinergic agonist resistant,larval lethal,levamisole resistant,locomotion variant,muscle cell morphology variant,sperm pseudopod variant,thin,twitcher	lethal	N.A.	DA neuron,germ line,I5 neuron,muscle cell,retrovesicular ganglion,SAB,VA neuron	N.A.	1-cell embryo Ce,1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,5-days post-L4 adult hermaphrodite Ce,11-15 days post-L4 adult hermaphrodite Ce,16-18 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	unc-22	N.A.	N.A.	Concise_description	unc-22 encodes twitchin, a giant intracellular protein with multiple fibronectin- and immunoglobulin-like domains and a single protein kinase domain that is homologous to titin (OMIM:188840); UNC-22 is required in muscle for regulation of the actomyosin contraction-relaxation cycle and for maintenance of normal muscle morphology; UNC-22 associates with myosin and is localized to A-bands; in vitro, UNC-22 can phosphorylate myosin light-chain peptides and can undergo autophosphorylation.
F23F12.3	WBGene00017751	F23F12.3	Live	F23F12.3	CELE_F23F12.3	F23F12.3,F23F12.3:wp105,F23F12.3:wp129,F23F12.3:wp216,F23F12.3	CE45155	P46499	N.A.	NM_066032.3	NP_498433.3	N.A.	embryonic development variant,embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	intestine,Z1,Z4	N.A.	1-day post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,blastula embryo Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,L4-adult lethargus Ce	F23F12.3	N.A.	N.A.	Automated_description	F23F12.3 is predicted to have transmembrane transporter activity, based on protein domain information.
C01H6.8	WBGene00007257	C01H6.8	Live	C01H6.8	CELE_C01H6.8	C01H6.8a,C01H6.8b,C01H6.8:wp175,C01H6.8b,C01H6.8a	CE40892,CE40893	A5JYT4,A5JYT3	N.A.	NM_001128944.2,NM_001128943.2	NP_001122415.1,NP_001122416.1	N.A.	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	hypodermis,intestine	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,3-fold embryo Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,blastula embryo Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,L4-adult lethargus Ce,larva Ce	C01H6.8	N.A.	N.A.	Automated_description	Microarray, proteomic, and RNA sequencing studies indicate that C01H6.8 is regulated by lin-35, gld-1, let-7, emr-1, lem-2, bar-1, clk-1, wrn-1, tdp-1, dop-1, hsf-1, sir-2.1, mir-243, crh-1, tax-6, daf-19, and daf-2; microarray studies indicate that C01H6.8 is regulated by Fluoranthene, Quercetin, Colistin, and Sirolimus; tiling array and microarray studies indicate that C01H6.8 is enriched in the hypodermis and intestine.
